name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Dar al Gani 806,6353,Valid,H5,48.4,Found,2000,26.966,16.50283,"(26.966000, 16.502830)"
Dar al Gani 807,6354,Valid,H5,187,Found,2000,27.057,16.445,"(27.057000, 16.445000)"
Dar al Gani 808,6355,Valid,L6,69,Found,2000,26.98683,16.44017,"(26.986830, 16.440170)"
Dar al Gani 809,6356,Valid,L6,97.8,Found,2000,26.99817,16.43967,"(26.998170, 16.439670)"
Dar al Gani 810,6357,Valid,L6,64,Found,2000,26.97483,16.39017,"(26.974830, 16.390170)"
Dar al Gani 811,6358,Valid,H5,60,Found,2000,26.99417,16.45183,"(26.994170, 16.451830)"
Dar al Gani 812,6359,Valid,H5,2022,Found,2000,26.95867,16.4555,"(26.958670, 16.455500)"
Dar al Gani 813,6360,Valid,H5,37.8,Found,2000,26.994,16.45217,"(26.994000, 16.452170)"
Dar al Gani 814,6361,Valid,L4,102,Found,2000,26.99,16.39783,"(26.990000, 16.397830)"
Dar al Gani 815,6362,Valid,H5,214,Found,2000,26.98333,16.46167,"(26.983330, 16.461670)"
Dar al Gani 816,6363,Valid,H5,71.2,Found,2000,26.9945,16.45367,"(26.994500, 16.453670)"
Dar al Gani 817,6364,Valid,H6,196,Found,2000,27.41317,16.2795,"(27.413170, 16.279500)"
Dar al Gani 818,6365,Valid,H4/5,110,Found,2000,26.97583,16.467,"(26.975830, 16.467000)"
Dar al Gani 819,6366,Valid,L4/5,688,Found,2000,26.99533,16.44683,"(26.995330, 16.446830)"
Dar al Gani 820,6367,Valid,L6,560,Found,2000,27.77117,15.93233,"(27.771170, 15.932330)"
Dar al Gani 821,6368,Valid,H4/5,1103,Found,2000,26.99533,16.44683,"(26.995330, 16.446830)"
Dar al Gani 822,6369,Valid,H5,44.2,Found,2000,26.97633,16.4675,"(26.976330, 16.467500)"
Dar al Gani 823,6370,Valid,L6,47.3,Found,2000,26.98183,16.43117,"(26.981830, 16.431170)"
Dar al Gani 824,6371,Valid,H5,112,Found,2000,26.99517,16.45217,"(26.995170, 16.452170)"
Dar al Gani 825,6372,Valid,H5,6,Found,2000,26.98683,16.43717,"(26.986830, 16.437170)"
Dar al Gani 826,6373,Valid,L5/6,23,Found,2000,27.05683,16.3975,"(27.056830, 16.397500)"
Dar al Gani 827,6374,Valid,H5,107,Found,2000,26.987,16.437,"(26.987000, 16.437000)"
Dar al Gani 828,6375,Valid,L6,7.4,Found,2000,26.972,16.468,"(26.972000, 16.468000)"
Dar al Gani 829,6376,Valid,H5/6,23.7,Found,2000,27.479,16.13933,"(27.479000, 16.139330)"
